transaction_id,date,category,subcategory,merchant,amount,type,payment_method,month,year,month_num,notes,month_label,is_overspend
TXN-01033,2023-01-01,Dining Out,Dining Out,Local Bistro,8.48,Expense,ACH Transfer,2023-01,2023,1,,Jan 2023,False
TXN-01048,2023-01-02,Shopping,Shopping,Nike,45.75,Expense,Credit Card,2023-01,2023,1,,Jan 2023,False
TXN-01053,2023-01-03,Subscriptions,Subscriptions,Adobe CC,14.96,Expense,Debit Card,2023-01,2023,1,,Jan 2023,True
TXN-01036,2023-01-05,Dining Out,Dining Out,Olive Garden,23.88,Expense,Credit Card,2023-01,2023,1,,Jan 2023,False
TXN-01027,2023-01-06,Groceries,Groceries,Whole Foods,15.81,Expense,Debit Card,2023-01,2023,1,,Jan 2023,True
TXN-01055,2023-01-07,Subscriptions,Subscriptions,Adobe CC,13.64,Expense,ACH Transfer,2023-01,2023,1,,Jan 2023,True
TXN-01052,2023-01-08,Subscriptions,Subscriptions,YouTube Premium,15.71,Expense,Debit Card,2023-01,2023,1,,Jan 2023,True
TXN-01051,2023-01-08,Subscriptions,Subscriptions,Hulu,18.95,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01041,2023-01-08,Utilities,Utilities,City Water Dept,207.99,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01032,2023-01-08,Dining Out,Dining Out,Chipotle,34.51,Expense,Debit Card,2023-01,2023,1,,Jan 2023,False
TXN-01047,2023-01-09,Shopping,Shopping,Amazon,47.92,Expense,Credit Card,2023-01,2023,1,,Jan 2023,False
TXN-01050,2023-01-11,Subscriptions,Subscriptions,Spotify,15.68,Expense,Cash,2023-01,2023,1,,Jan 2023,True
TXN-01045,2023-01-11,Entertainment,Entertainment,AMC Theatres,25.9,Expense,Credit Card,2023-01,2023,1,,Jan 2023,False
TXN-01028,2023-01-12,Groceries,Groceries,Trader Joe's,192.1,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01039,2023-01-12,Transportation,Transportation,Toll Authority,64.0,Expense,ACH Transfer,2023-01,2023,1,,Jan 2023,True
TXN-01046,2023-01-13,Entertainment,Entertainment,Concert Hall,1.45,Expense,Debit Card,2023-01,2023,1,,Jan 2023,False
TXN-01044,2023-01-14,Entertainment,Entertainment,Steam Games,37.63,Expense,Credit Card,2023-01,2023,1,,Jan 2023,False
TXN-01025,2023-01-14,Groceries,Groceries,Trader Joe's,24.84,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01049,2023-01-15,Shopping,Shopping,H&M,61.51,Expense,Credit Card,2023-01,2023,1,,Jan 2023,False
TXN-01040,2023-01-15,Transportation,Transportation,Toll Authority,79.53,Expense,ACH Transfer,2023-01,2023,1,,Jan 2023,True
TXN-01042,2023-01-16,Healthcare,Healthcare,Eye Care Plus,116.27,Expense,Debit Card,2023-01,2023,1,,Jan 2023,True
TXN-01035,2023-01-18,Dining Out,Dining Out,Local Bistro,13.0,Expense,Debit Card,2023-01,2023,1,,Jan 2023,False
TXN-01031,2023-01-19,Dining Out,Dining Out,Olive Garden,18.79,Expense,ACH Transfer,2023-01,2023,1,,Jan 2023,False
TXN-01000,2023-01-19,Income,Salary,Employer Direct Deposit,4500.0,Income,ACH Transfer,2023-01,2023,1,Bi-weekly paycheck,Jan 2023,False
TXN-01054,2023-01-21,Subscriptions,Subscriptions,Spotify,12.81,Expense,Debit Card,2023-01,2023,1,,Jan 2023,True
TXN-01024,2023-01-22,Housing,Housing,Oakwood Apartments,1400.0,Expense,Debit Card,2023-01,2023,1,,Jan 2023,False
TXN-01037,2023-01-22,Transportation,Transportation,BP Gas,58.97,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01038,2023-01-26,Transportation,Transportation,BP Gas,48.47,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01056,2023-01-26,Savings,Savings,Vanguard Transfer,500.0,Expense,Credit Card,2023-01,2023,1,,Jan 2023,False
TXN-01034,2023-01-27,Dining Out,Dining Out,Chipotle,19.89,Expense,Debit Card,2023-01,2023,1,,Jan 2023,False
TXN-01043,2023-01-27,Entertainment,Entertainment,AMC Theatres,36.24,Expense,Credit Card,2023-01,2023,1,,Jan 2023,False
TXN-01030,2023-01-29,Groceries,Groceries,Walmart Grocery,67.49,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01029,2023-01-30,Groceries,Groceries,Whole Foods,61.26,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01026,2023-01-30,Groceries,Groceries,Walmart Grocery,47.61,Expense,Credit Card,2023-01,2023,1,,Jan 2023,True
TXN-01078,2023-02-02,Entertainment,Entertainment,AMC Theatres,19.07,Expense,ACH Transfer,2023-02,2023,2,,Feb 2023,False
TXN-01085,2023-02-02,Savings,Savings,Marcus Savings,500.0,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01075,2023-02-03,Healthcare,Healthcare,OU Medical,165.88,Expense,Credit Card,2023-02,2023,2,,Feb 2023,True
TXN-01061,2023-02-03,Groceries,Groceries,Trader Joe's,58.39,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01057,2023-02-04,Housing,Housing,Metro Property Mgmt,1400.0,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01058,2023-02-05,Groceries,Groceries,Kroger,66.12,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01059,2023-02-07,Groceries,Groceries,Trader Joe's,33.4,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01066,2023-02-07,Dining Out,Dining Out,Olive Garden,31.86,Expense,Credit Card,2023-02,2023,2,,Feb 2023,True
TXN-01073,2023-02-07,Transportation,Transportation,Shell Gas,62.66,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01083,2023-02-07,Subscriptions,Subscriptions,Netflix,14.33,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01084,2023-02-08,Subscriptions,Subscriptions,YouTube Premium,15.75,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01079,2023-02-08,Shopping,Shopping,Nike,90.26,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01067,2023-02-10,Dining Out,Dining Out,Chick-fil-A,36.96,Expense,Credit Card,2023-02,2023,2,,Feb 2023,True
TXN-01074,2023-02-10,Utilities,Utilities,OG&E Electric,80.15,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01076,2023-02-11,Entertainment,Entertainment,AMC Theatres,23.15,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01069,2023-02-13,Dining Out,Dining Out,Starbucks,30.35,Expense,Credit Card,2023-02,2023,2,,Feb 2023,True
TXN-01064,2023-02-14,Dining Out,Dining Out,Olive Garden,48.12,Expense,Debit Card,2023-02,2023,2,,Feb 2023,True
TXN-01063,2023-02-15,Groceries,Groceries,Whole Foods,37.13,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01065,2023-02-16,Dining Out,Dining Out,Olive Garden,23.19,Expense,Debit Card,2023-02,2023,2,,Feb 2023,True
TXN-01072,2023-02-16,Transportation,Transportation,Toll Authority,20.09,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01080,2023-02-19,Shopping,Shopping,TJ Maxx,56.22,Expense,Cash,2023-02,2023,2,,Feb 2023,False
TXN-01068,2023-02-20,Dining Out,Dining Out,Chick-fil-A,32.5,Expense,Cash,2023-02,2023,2,,Feb 2023,True
TXN-01081,2023-02-21,Subscriptions,Subscriptions,Spotify,11.02,Expense,Cash,2023-02,2023,2,,Feb 2023,False
TXN-01001,2023-02-21,Income,Salary,Employer Direct Deposit,4500.0,Income,ACH Transfer,2023-02,2023,2,Bi-weekly paycheck,Feb 2023,False
TXN-01082,2023-02-23,Subscriptions,Subscriptions,Netflix,12.6,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01071,2023-02-23,Transportation,Transportation,Toll Authority,49.28,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01060,2023-02-23,Groceries,Groceries,Whole Foods,72.86,Expense,Debit Card,2023-02,2023,2,,Feb 2023,False
TXN-01062,2023-02-26,Groceries,Groceries,Walmart Grocery,67.71,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01070,2023-02-27,Transportation,Transportation,City Parking,43.54,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01077,2023-02-27,Entertainment,Entertainment,Steam Games,28.82,Expense,Credit Card,2023-02,2023,2,,Feb 2023,False
TXN-01117,2023-03-02,Savings,Savings,Vanguard Transfer,500.0,Expense,Credit Card,2023-03,2023,3,,Mar 2023,False
TXN-01102,2023-03-02,Transportation,Transportation,City Parking,49.99,Expense,Debit Card,2023-03,2023,3,,Mar 2023,True
TXN-01095,2023-03-02,Dining Out,Dining Out,Panda Express,23.69,Expense,Credit Card,2023-03,2023,3,,Mar 2023,False
TXN-01092,2023-03-03,Groceries,Groceries,Walmart Grocery,70.91,Expense,Credit Card,2023-03,2023,3,,Mar 2023,True
TXN-01111,2023-03-03,Shopping,Shopping,Amazon,42.45,Expense,Debit Card,2023-03,2023,3,,Mar 2023,False
TXN-01086,2023-03-03,Housing,Housing,Oakwood Apartments,1400.0,Expense,Debit Card,2023-03,2023,3,,Mar 2023,False
TXN-01087,2023-03-06,Groceries,Groceries,Aldi,79.49,Expense,ACH Transfer,2023-03,2023,3,,Mar 2023,True
TXN-01096,2023-03-06,Dining Out,Dining Out,Starbucks,10.55,Expense,Debit Card,2023-03,2023,3,,Mar 2023,False
TXN-01105,2023-03-07,Utilities,Utilities,OG&E Electric,83.73,Expense,Credit Card,2023-03,2023,3,,Mar 2023,True
